"area_name","area_code","date","new_cases","total_cases"
"Enfield","E09000010",2020-04-13,14,614
"Greenwich","E09000011",2020-04-13,12,543
"Hackney and City of London","E09000012",2020-04-13,9,553
"Hammersmith and Fulham","E09000013",2020-04-13,9,411
"Haringey","E09000014",2020-04-13,17,472
"Harrow","E09000015",2020-04-13,23,712
"Havering","E09000016",2020-04-13,17,534
"Hillingdon","E09000017",2020-04-13,17,558
"Hounslow","E09000018",2020-04-13,9,520
"Islington","E09000019",2020-04-13,7,356
"Kensington and Chelsea","E09000020",2020-04-13,7,392
"Kingston upon Thames","E09000021",2020-04-13,13,337
"Lambeth","E09000022",2020-04-13,17,979
"Lewisham","E09000023",2020-04-13,29,780
"Merton","E09000024",2020-04-13,21,548
"Newham","E09000025",2020-04-13,20,832
"Redbridge","E09000026",2020-04-13,21,590
"Richmond upon Thames","E09000027",2020-04-13,8,311
"Southwark","E09000028",2020-04-13,25,1046
"Sutton","E09000029",2020-04-13,57,519
"Tower Hamlets","E09000030",2020-04-13,17,545
"Waltham Forest","E09000031",2020-04-13,20,604
"Wandsworth","E09000032",2020-04-13,17,796
"Westminster","E09000033",2020-04-13,10,532
"Barking and Dagenham","E09000002",2020-04-14,14,406
"Barnet","E09000003",2020-04-14,21,1039
"Bexley","E09000004",2020-04-14,25,529
"Brent","E09000005",2020-04-14,32,1125
"Bromley","E09000006",2020-04-14,22,872
"Camden","E09000007",2020-04-14,9,473
"Croydon","E09000008",2020-04-14,51,1133
"Ealing","E09000009",2020-04-14,27,861
"Enfield","E09000010",2020-04-14,38,652
"Greenwich","E09000011",2020-04-14,31,574
"Hackney and City of London","E09000012",2020-04-14,8,561
"Hammersmith and Fulham","E09000013",2020-04-14,9,420
"Haringey","E09000014",2020-04-14,10,482
"Harrow","E09000015",2020-04-14,17,729
"Havering","E09000016",2020-04-14,15,549
"Hillingdon","E09000017",2020-04-14,17,575
"Hounslow","E09000018",2020-04-14,22,542
"Islington","E09000019",2020-04-14,7,363
"Kensington and Chelsea","E09000020",2020-04-14,7,399
"Kingston upon Thames","E09000021",2020-04-14,19,356
"Lambeth","E09000022",2020-04-14,11,990
"Lewisham","E09000023",2020-04-14,16,796
"Merton","E09000024",2020-04-14,13,561
"Newham","E09000025",2020-04-14,17,849
"Redbridge","E09000026",2020-04-14,14,604
"Richmond upon Thames","E09000027",2020-04-14,9,320
"Southwark","E09000028",2020-04-14,21,1067
"Sutton","E09000029",2020-04-14,31,550
"Tower Hamlets","E09000030",2020-04-14,8,553
"Waltham Forest","E09000031",2020-04-14,23,627
"Wandsworth","E09000032",2020-04-14,23,819
"Westminster","E09000033",2020-04-14,14,546
"Barking and Dagenham","E09000002",2020-04-15,12,418
